SpT,M_g,M_r,M_i,M_z,M_y,M_J,M_H,M_Ks,M_W1,M_W2,M_W3,g-r,r-i,i-z,z-y,y-J,J-H,H-Ks,Ks-W1,W1-W2,W2-W3,i-y,i-J,z-J,J-Ks,y-W1,i-z(DES),z-Y(DES),Y(DES)-J(VHS),i-z(SDSS),z(SDSS)-Y(UKIDSS),Y-J(UKIDSS),G-RP,BP-RP,BP-G,M_G,M_RP,M_BP
M6,16.71,15.37,13.25,12.27,11.76,10.36,9.76,9.43,9.22,9.01,8.72,1.33,2.13,0.98,0.51,1.40,0.60,0.33,0.20,0.22,0.25,1.48,2.89,1.91,0.93,2.54,0.83,0.16,1.43,,,,1.41,3.39,2.00,12.92,11.50,14.67
M7,18.11,16.76,14.18,12.98,12.31,10.77,10.14,9.75,9.52,9.31,8.96,1.40,2.55,1.21,0.67,1.54,0.63,0.39,0.22,0.23,0.32,1.87,3.41,2.21,1.02,2.78,1.02,0.22,1.52,1.36,0.55,0.68,1.47,3.64,2.20,13.54,12.07,15.48
M8,19.19,17.74,15.00,13.61,12.81,11.15,10.47,10.03,9.78,9.55,9.18,1.53,2.69,1.38,0.81,1.66,0.68,0.43,0.26,0.23,0.35,2.19,3.85,2.46,1.12,3.03,1.27,0.30,1.65,1.68,0.69,0.79,1.57,4.18,2.65,14.60,13.02,17.04
M9,19.95,18.14,15.62,14.17,13.23,11.46,10.74,10.27,9.95,9.68,9.24,1.79,2.58,1.44,0.92,1.77,0.72,0.48,0.31,0.26,0.44,2.35,4.16,2.71,1.19,3.33,1.36,0.34,1.72,1.86,0.79,0.87,1.63,4.48,2.91,15.26,13.62,17.92
L0,20.33,18.37,16.00,14.52,13.58,11.76,11.00,10.52,10.22,9.94,9.35,1.85,2.35,1.47,0.95,1.82,0.76,0.48,0.32,0.27,0.51,2.41,4.24,2.76,1.24,3.35,1.48,0.43,1.83,2.01,0.86,1.04,1.67,,,16.11,14.45,
L1,20.85,18.74,16.41,14.93,13.97,12.03,11.23,10.71,10.36,10.10,9.66,2.00,2.35,1.48,0.97,1.94,0.80,0.51,0.35,0.26,0.46,2.45,4.38,2.90,1.32,3.59,1.47,0.45,1.98,2.02,0.88,1.11,1.68,,,16.82,15.14,
L2,21.24,19.02,16.73,15.30,14.33,12.32,11.41,10.83,10.43,10.14,9.62,2.30,2.27,1.45,0.97,2.00,0.91,0.59,0.42,0.29,0.55,2.41,4.41,2.98,1.49,3.90,1.53,0.49,2.09,2.04,0.90,1.18,1.70,,,17.11,15.42,
L3,22.51,19.61,17.40,15.88,14.89,12.77,11.82,11.19,10.66,10.39,9.91,2.70,2.23,1.49,1.01,2.12,0.95,0.64,0.52,0.30,0.50,2.51,4.63,3.11,1.58,4.26,1.63,0.53,2.19,2.10,0.92,1.23,1.69,,,17.89,16.21,
L4,,20.60,18.35,16.68,15.66,13.51,12.45,11.85,11.18,10.84,10.05,,2.11,1.63,1.02,2.15,1.06,0.64,0.61,0.32,0.64,2.68,4.84,3.17,1.65,4.39,1.73,0.57,2.27,2.20,0.94,1.27,1.71,,,18.51,16.80,
L5,,20.74,18.71,16.94,15.87,13.69,12.63,11.94,11.26,10.91,10.13,,2.00,1.77,1.05,2.18,1.06,0.67,0.67,0.33,0.65,2.83,5.02,3.25,1.75,4.59,1.87,0.60,2.30,2.33,0.97,1.31,,,,,,
L6,,21.21,19.27,17.35,16.27,14.18,13.19,12.58,11.85,11.49,10.53,,1.91,1.89,1.05,2.09,0.99,0.65,0.71,0.38,0.76,2.96,5.09,3.17,1.59,4.55,1.96,0.62,2.31,2.51,1.00,1.33,1.77,,,18.92,16.98,
L7,,,20.09,18.18,17.13,14.94,13.82,13.12,12.42,11.99,10.87,,,2.10,1.02,2.19,1.12,0.73,0.73,0.42,0.96,3.07,5.15,3.25,1.82,4.68,2.07,0.63,2.32,2.71,1.04,1.35,,,,,,
L8,,22.88,20.38,18.10,17.04,14.90,13.77,13.04,12.20,11.66,10.66,,2.13,2.45,1.05,2.14,1.13,0.65,0.85,0.53,1.12,3.45,5.48,3.20,1.86,4.78,2.18,0.65,2.30,2.93,1.09,1.21,,,,,,
L9,,,20.09,17.69,16.57,14.46,13.39,12.79,11.94,11.45,10.48,,,2.45,1.16,2.11,1.07,0.58,0.78,0.57,0.88,3.60,5.63,3.23,1.67,4.54,2.35,0.66,2.30,3.15,1.16,1.20,,,,,,
T0,,,20.22,17.98,16.77,14.56,13.62,13.08,12.43,11.94,11.02,,,2.38,1.21,2.21,0.93,0.56,0.78,0.58,0.92,3.52,5.66,3.42,1.48,4.29,2.51,0.67,2.30,3.36,1.23,1.19,,,,,,
T1,,,21.10,18.84,17.45,15.25,14.39,14.07,13.39,12.68,11.26,,,2.30,1.39,2.19,0.86,0.33,0.63,0.72,1.41,3.72,5.85,3.59,1.18,4.10,2.71,0.72,2.32,3.55,1.33,1.19,,,,,,
T2,,,21.97,18.26,16.75,14.54,13.73,13.48,12.94,12.06,10.61,,,3.53,1.45,2.22,0.80,0.25,0.57,0.91,1.44,5.17,7.43,3.72,1.06,3.83,2.88,0.76,2.34,3.70,1.43,1.18,,,,,,
T3,,,,18.08,16.50,14.26,13.67,13.44,12.84,11.72,,,,2.85,1.55,2.24,0.59,0.17,0.56,1.07,,4.50,,3.82,0.82,3.65,3.02,0.84,2.40,3.82,1.55,1.18,,,,,,
T4,,,,18.02,16.32,13.89,13.57,13.49,13.31,11.90,10.70,,,,1.71,2.43,0.32,0.11,0.19,1.35,1.30,,,4.13,0.40,3.07,3.16,0.92,2.43,3.90,1.68,1.17,,,,,,
T5,,,22.69,19.20,17.43,14.94,14.76,14.77,14.52,12.69,11.37,,,3.49,1.74,2.49,0.18,0.03,0.15,1.85,,5.23,7.75,4.26,0.17,2.92,3.25,1.02,2.48,3.95,1.81,1.16,,,,,,
T6,,,,19.82,18.06,15.53,15.48,15.37,15.08,13.02,11.61,,,,1.74,2.54,0.05,0.06,0.37,2.08,1.21,,,4.29,0.16,3.02,3.35,1.13,2.53,3.98,1.96,1.16,,,,,,
T7,,,,21.17,19.34,16.78,16.70,16.70,16.23,14.11,12.26,,,,1.80,2.56,0.08,0.01,0.33,2.26,1.35,,,4.38,0.08,3.16,3.40,1.25,2.57,4.01,2.11,1.15,,,,,,
T8,,,,21.52,19.75,17.18,17.09,,16.58,14.03,12.27,,,,1.76,2.57,0.09,,,2.79,1.40,,,4.34,,3.34,3.41,1.37,2.61,4.08,2.26,1.15,,,,,,
T9,,,,21.82,20.37,17.75,17.51,,16.70,13.81,11.97,,,,1.37,2.61,0.24,,,2.95,1.82,,,4.07,,3.66,3.39,1.50,2.64,,,,,,,,,