Teff,U,B,V,R,I,J,H,K,u,g,r,i,z,G,BP,RP,U-B,B-V,V-R,R-I,J-H,H-K,u-g,g-r,r-i,i-z,V-J,r-J,G-RP,BP-RP,Log g,Mass,Age
25000,8.501,9.582,9.727,9.828,9.940,10.241,10.339,10.414,9.339,9.523,9.918,10.241,10.544,9.741,9.627,9.923,-1.081,-0.145,-0.101,-0.112,-0.098,-0.075,-0.184,-0.395,-0.323,-0.303,-0.514,-0.323,-0.182,-0.296,7.5,0.385,1.99E+07
26000,8.422,9.513,9.667,9.773,9.889,10.195,10.294,10.370,9.261,9.457,9.862,10.189,10.495,9.680,9.562,9.871,-1.091,-0.154,-0.106,-0.116,-0.099,-0.076,-0.196,-0.405,-0.327,-0.306,-0.528,-0.333,-0.191,-0.309,7.5,0.388,1.75E+07
27000,8.339,9.441,9.606,9.715,9.836,10.148,10.248,10.326,9.178,9.389,9.803,10.134,10.443,9.618,9.495,9.817,-1.102,-0.165,-0.109,-0.121,-0.100,-0.078,-0.211,-0.414,-0.331,-0.309,-0.542,-0.345,-0.199,-0.322,7.5,0.391,1.55E+07
28000,8.258,9.370,9.546,9.657,9.784,10.101,10.203,10.282,9.097,9.322,9.745,10.080,10.392,9.556,9.430,9.763,-1.112,-0.176,-0.111,-0.127,-0.102,-0.079,-0.225,-0.423,-0.335,-0.312,-0.555,-0.356,-0.207,-0.333,7.5,0.393,1.39E+07
29000,8.178,9.302,9.487,9.601,9.732,10.054,10.159,10.239,9.018,9.257,9.687,10.027,10.342,9.495,9.365,9.709,-1.124,-0.185,-0.114,-0.131,-0.105,-0.080,-0.239,-0.430,-0.340,-0.315,-0.567,-0.367,-0.214,-0.344,7.5,0.396,1.26E+07
30000,8.100,9.235,9.429,9.545,9.680,10.008,10.114,10.196,8.940,9.194,9.631,9.974,10.291,9.436,9.303,9.657,-1.135,-0.194,-0.116,-0.135,-0.106,-0.082,-0.254,-0.437,-0.343,-0.317,-0.579,-0.377,-0.221,-0.354,7.5,0.399,1.14E+07
31000,8.027,9.172,9.374,9.493,9.631,9.965,10.072,10.156,8.867,9.134,9.578,9.924,10.244,9.380,9.244,9.607,-1.145,-0.202,-0.119,-0.138,-0.107,-0.084,-0.267,-0.444,-0.346,-0.320,-0.591,-0.387,-0.227,-0.363,7.5,0.401,1.86E+07
32000,7.952,9.108,9.318,9.439,9.581,9.920,10.028,10.114,8.793,9.073,9.524,9.873,10.195,9.323,9.183,9.555,-1.156,-0.210,-0.121,-0.142,-0.108,-0.086,-0.280,-0.451,-0.349,-0.322,-0.602,-0.396,-0.232,-0.372,7.5,0.404,1.74E+07
33000,7.878,9.045,9.262,9.385,9.530,9.874,9.984,10.071,8.719,9.013,9.469,9.821,10.146,9.265,9.122,9.504,-1.167,-0.217,-0.123,-0.145,-0.110,-0.087,-0.294,-0.456,-0.352,-0.325,-0.612,-0.405,-0.239,-0.382,7.5,0.407,1.63E+07
34000,7.806,8.982,9.207,9.332,9.480,9.829,9.941,10.029,8.647,8.953,9.415,9.770,10.097,9.209,9.063,9.453,-1.176,-0.225,-0.125,-0.148,-0.112,-0.088,-0.306,-0.462,-0.355,-0.327,-0.622,-0.414,-0.244,-0.390,7.5,0.410,1.53E+07
35000,7.735,8.921,9.152,9.279,9.431,9.784,9.898,9.987,8.576,8.895,9.362,9.719,10.049,9.153,9.005,9.402,-1.186,-0.231,-0.127,-0.152,-0.114,-0.089,-0.319,-0.467,-0.357,-0.330,-0.632,-0.422,-0.249,-0.397,7.5,0.413,1.44E+07
36000,7.660,8.855,9.093,9.222,9.377,9.735,9.850,9.941,8.502,8.832,9.305,9.665,9.996,9.093,8.942,9.348,-1.195,-0.238,-0.129,-0.155,-0.115,-0.091,-0.330,-0.473,-0.360,-0.331,-0.642,-0.430,-0.255,-0.406,7.5,0.417,1.33E+07
37000,7.590,8.794,9.038,9.169,9.327,9.690,9.806,9.899,8.432,8.773,9.252,9.614,9.948,9.038,8.883,9.297,-1.204,-0.244,-0.131,-0.158,-0.116,-0.093,-0.341,-0.479,-0.362,-0.334,-0.652,-0.438,-0.259,-0.414,7.5,0.420,1.25E+07
38000,7.520,8.733,8.983,9.116,9.277,9.645,9.763,9.857,8.362,8.714,9.198,9.563,9.899,8.982,8.825,9.247,-1.213,-0.250,-0.133,-0.161,-0.118,-0.094,-0.352,-0.484,-0.365,-0.336,-0.662,-0.447,-0.265,-0.422,7.5,0.423,1.18E+07
39000,7.449,8.671,8.927,9.063,9.227,9.599,9.719,9.814,8.291,8.655,9.144,9.512,9.850,8.925,8.765,9.195,-1.222,-0.256,-0.136,-0.164,-0.120,-0.095,-0.364,-0.489,-0.368,-0.338,-0.672,-0.455,-0.270,-0.430,7.5,0.426,1.12E+07
40000,7.377,8.607,8.870,9.007,9.175,9.551,9.673,9.771,8.219,8.593,9.088,9.459,9.799,8.867,8.704,9.142,-1.230,-0.263,-0.137,-0.168,-0.122,-0.098,-0.374,-0.495,-0.371,-0.340,-0.681,-0.463,-0.275,-0.438,7.5,0.429,1.06E+07
3500,20.240,19.334,17.699,16.692,15.759,14.764,14.290,13.993,21.101,18.549,17.065,16.392,15.994,16.939,17.923,15.940,0.906,1.635,1.007,0.933,0.474,0.297,2.552,1.484,0.673,0.398,2.935,2.301,0.999,1.983,8,0.569,9.36E+09
3750,19.341,18.604,17.129,16.229,15.386,14.515,14.094,13.833,20.192,17.890,16.567,15.986,15.656,16.491,17.360,15.555,0.737,1.475,0.900,0.843,0.421,0.261,2.302,1.323,0.581,0.330,2.614,2.052,0.936,1.805,8,0.569,8.88E+09
4000,18.543,17.960,16.629,15.823,15.060,14.298,13.922,13.691,19.386,17.310,16.133,15.633,15.361,16.092,16.862,15.218,0.583,1.331,0.806,0.763,0.376,0.231,2.076,1.177,0.500,0.272,2.331,1.835,0.874,1.644,8,0.569,8.34E+09
4250,17.820,17.383,16.185,15.462,14.772,14.105,13.769,13.564,18.656,16.790,15.747,15.320,15.100,15.732,16.414,14.918,0.437,1.198,0.723,0.690,0.336,0.205,1.866,1.043,0.427,0.220,2.080,1.642,0.814,1.496,8,0.569,7.75E+09
4500,17.176,16.872,15.795,15.144,14.520,13.935,13.633,13.451,18.007,16.332,15.409,15.046,14.871,15.412,16.016,14.655,0.304,1.077,0.651,0.624,0.302,0.182,1.675,0.923,0.363,0.175,1.860,1.474,0.757,1.361,8,0.570,7.17E+09
4750,16.592,16.413,15.446,14.861,14.294,13.783,13.511,13.349,17.419,15.920,15.107,14.802,14.667,15.121,15.657,14.420,0.179,0.967,0.585,0.567,0.272,0.162,1.499,0.813,0.305,0.135,1.663,1.324,0.701,1.237,8,0.570,6.61E+09
5000,16.064,16.002,15.134,14.607,14.094,13.647,13.402,13.257,16.887,15.551,14.839,14.584,14.485,14.858,15.334,14.210,0.062,0.868,0.527,0.513,0.245,0.145,1.336,0.712,0.255,0.099,1.487,1.192,0.648,1.124,8,0.570,5.98E+09
5250,15.583,15.631,14.856,14.380,13.914,13.525,13.303,13.174,16.404,15.219,14.598,14.390,14.322,14.620,15.041,14.022,-0.048,0.775,0.476,0.466,0.222,0.129,1.185,0.621,0.208,0.068,1.331,1.073,0.598,1.019,8,0.571,5.02E+09
5500,15.147,15.298,14.607,14.177,13.754,13.416,13.215,13.100,15.967,14.922,14.384,14.216,14.176,14.404,14.777,13.853,-0.151,0.691,0.430,0.423,0.201,0.115,1.045,0.538,0.168,0.040,1.191,0.968,0.551,0.924,8,0.572,3.96E+09
6000,14.412,14.737,14.185,13.831,13.478,13.224,13.058,12.967,15.232,14.419,14.019,13.918,13.925,14.030,14.325,13.563,-0.325,0.552,0.354,0.353,0.166,0.091,0.813,0.400,0.101,-0.007,0.961,0.795,0.467,0.762,8,0.573,2.55E+09
6500,13.837,14.287,13.837,13.539,13.241,13.054,12.918,12.846,14.657,14.010,13.713,13.664,13.707,13.714,13.951,13.315,-0.450,0.450,0.298,0.298,0.136,0.072,0.647,0.297,0.049,-0.043,0.783,0.659,0.399,0.636,8,0.575,1.99E+09
7000,13.370,13.911,13.538,13.284,13.031,12.901,12.789,12.734,14.191,13.664,13.447,13.440,13.513,13.438,13.631,13.095,-0.541,0.373,0.254,0.253,0.112,0.055,0.527,0.217,0.007,-0.073,0.637,0.546,0.343,0.536,8,0.576,1.65E+09
7500,12.974,13.583,13.273,13.054,12.840,12.759,12.669,12.630,13.795,13.361,13.209,13.237,13.335,13.191,13.347,12.896,-0.609,0.310,0.219,0.214,0.090,0.039,0.434,0.152,-0.028,-0.098,0.514,0.450,0.295,0.451,8,0.577,1.39E+09
8000,12.628,13.294,13.035,12.847,12.666,12.628,12.558,12.532,13.450,13.092,12.995,13.053,13.173,12.966,13.093,12.715,-0.666,0.259,0.188,0.181,0.070,0.026,0.358,0.097,-0.058,-0.120,0.407,0.367,0.251,0.378,8,0.578,1.18E+09
8500,12.316,13.030,12.816,12.655,12.504,12.508,12.457,12.445,13.139,12.845,12.796,12.881,13.022,12.758,12.858,12.546,-0.714,0.214,0.161,0.151,0.051,0.012,0.294,0.049,-0.085,-0.141,0.308,0.288,0.212,0.312,8,0.579,1.01E+09
9000,12.038,12.803,12.635,12.501,12.378,12.414,12.377,12.375,12.862,12.635,12.636,12.747,12.906,12.587,12.661,12.414,-0.765,0.168,0.134,0.123,0.037,0.002,0.227,-0.001,-0.111,-0.159,0.221,0.222,0.173,0.247,8,0.580,8.70E+08
9500,11.794,12.590,12.449,12.331,12.228,12.296,12.275,12.284,12.619,12.432,12.463,12.590,12.764,12.407,12.465,12.259,-0.796,0.141,0.118,0.103,0.021,-0.009,0.187,-0.031,-0.127,-0.174,0.153,0.167,0.148,0.206,8,0.581,7.56E+08
10000,11.572,12.414,12.315,12.220,12.140,12.232,12.220,12.237,12.397,12.272,12.347,12.495,12.683,12.279,12.315,12.166,-0.842,0.099,0.095,0.080,0.012,-0.017,0.125,-0.075,-0.148,-0.188,0.083,0.115,0.113,0.149,8,0.582,6.62E+08
11000,11.191,12.097,12.053,11.991,11.944,12.080,12.088,12.119,12.018,11.975,12.111,12.289,12.499,12.024,12.030,11.962,-0.906,0.044,0.062,0.047,-0.008,-0.031,0.043,-0.136,-0.178,-0.210,-0.027,0.031,0.062,0.068,8,0.584,5.14E+08
12000,10.874,11.831,11.832,11.797,11.777,11.951,11.976,12.019,11.702,11.726,11.912,12.114,12.343,11.809,11.790,11.790,-0.957,-0.001,0.035,0.020,-0.025,-0.043,-0.024,-0.186,-0.202,-0.229,-0.119,-0.039,0.019,0.000,8,0.586,4.06E+08
13000,10.606,11.602,11.637,11.625,11.629,11.833,11.873,11.924,11.435,11.509,11.735,11.959,12.203,11.619,11.581,11.636,-0.996,-0.035,0.012,-0.004,-0.040,-0.051,-0.074,-0.226,-0.224,-0.244,-0.196,-0.098,-0.017,-0.055,8,0.588,3.25E+08
14000,10.374,11.400,11.460,11.467,11.490,11.721,11.773,11.831,11.205,11.315,11.573,11.815,12.072,11.446,11.392,11.493,-1.026,-0.060,-0.007,-0.023,-0.052,-0.058,-0.110,-0.258,-0.242,-0.257,-0.261,-0.148,-0.047,-0.101,8,0.590,2.62E+08
15000,10.172,11.217,11.293,11.318,11.358,11.610,11.673,11.737,11.003,11.138,11.421,11.678,11.945,11.285,11.219,11.357,-1.045,-0.076,-0.025,-0.040,-0.063,-0.064,-0.135,-0.283,-0.257,-0.267,-0.317,-0.189,-0.072,-0.138,8,0.592,2.12E+08
16000,9.994,11.050,11.137,11.176,11.229,11.498,11.570,11.641,10.826,10.974,11.277,11.546,11.821,11.134,11.059,11.226,-1.056,-0.087,-0.039,-0.053,-0.072,-0.071,-0.148,-0.303,-0.269,-0.275,-0.361,-0.221,-0.092,-0.167,8,0.594,1.73E+08
17000,9.837,10.901,10.993,11.045,11.108,11.388,11.468,11.543,10.669,10.826,11.143,11.422,11.703,10.996,10.913,11.103,-1.064,-0.092,-0.052,-0.063,-0.080,-0.075,-0.157,-0.317,-0.279,-0.281,-0.395,-0.245,-0.107,-0.190,8,0.595,1.41E+08
18000,9.698,10.769,10.865,10.929,11.000,11.286,11.373,11.451,10.532,10.696,11.026,11.312,11.598,10.873,10.785,10.994,-1.071,-0.096,-0.064,-0.071,-0.087,-0.078,-0.164,-0.330,-0.286,-0.286,-0.421,-0.260,-0.121,-0.209,8,0.597,1.15E+08
19000,9.576,10.654,10.756,10.830,10.908,11.198,11.290,11.370,10.410,10.583,10.926,11.218,11.508,10.768,10.674,10.901,-1.078,-0.102,-0.074,-0.078,-0.092,-0.080,-0.173,-0.343,-0.292,-0.290,-0.442,-0.272,-0.133,-0.227,8,0.599,9.40E+07
20000,9.468,10.555,10.665,10.747,10.832,11.125,11.221,11.301,10.303,10.487,10.841,11.141,11.434,10.678,10.580,10.824,-1.087,-0.110,-0.082,-0.085,-0.096,-0.080,-0.184,-0.354,-0.300,-0.293,-0.460,-0.284,-0.146,-0.244,8,0.600,7.63E+07
21000,9.377,10.472,10.590,10.679,10.770,11.067,11.166,11.247,10.213,10.406,10.772,11.077,11.374,10.605,10.501,10.761,-1.095,-0.118,-0.089,-0.091,-0.099,-0.081,-0.193,-0.366,-0.305,-0.297,-0.477,-0.295,-0.156,-0.260,8,0.602,6.17E+07
22000,9.307,10.408,10.533,10.628,10.725,11.025,11.126,11.207,10.143,10.345,10.720,11.030,11.330,10.549,10.441,10.714,-1.101,-0.125,-0.095,-0.097,-0.101,-0.081,-0.202,-0.375,-0.310,-0.300,-0.492,-0.305,-0.165,-0.273,8,0.604,4.97E+07
23000,9.265,10.370,10.499,10.597,10.697,11.000,11.101,11.182,10.101,10.308,10.689,11.002,11.304,10.515,10.405,10.685,-1.105,-0.129,-0.098,-0.100,-0.101,-0.081,-0.207,-0.381,-0.313,-0.302,-0.501,-0.311,-0.170,-0.280,8,0.606,3.99E+07
24000,9.232,10.340,10.474,10.573,10.676,10.980,11.081,11.162,10.069,10.279,10.664,10.979,11.283,10.489,10.378,10.663,-1.108,-0.134,-0.099,-0.103,-0.101,-0.081,-0.210,-0.385,-0.315,-0.304,-0.506,-0.316,-0.174,-0.285,8,0.607,3.21E+07
25000,9.194,10.305,10.443,10.545,10.651,10.956,11.058,11.138,10.031,10.246,10.636,10.953,11.258,10.459,10.345,10.637,-1.111,-0.138,-0.102,-0.106,-0.102,-0.080,-0.215,-0.390,-0.317,-0.305,-0.513,-0.320,-0.178,-0.292,8,0.609,2.60E+07
26000,9.143,10.259,10.404,10.509,10.618,10.927,11.029,11.109,9.980,10.202,10.599,10.920,11.227,10.419,10.303,10.603,-1.116,-0.145,-0.105,-0.109,-0.102,-0.080,-0.222,-0.397,-0.321,-0.307,-0.523,-0.328,-0.184,-0.300,8,0.611,2.13E+07
27000,9.082,10.204,10.358,10.466,10.580,10.893,10.996,11.076,9.919,10.150,10.555,10.880,11.190,10.372,10.252,10.564,-1.122,-0.154,-0.108,-0.114,-0.103,-0.080,-0.231,-0.405,-0.325,-0.310,-0.535,-0.338,-0.192,-0.312,8,0.613,1.76E+07
28000,9.014,10.144,10.307,10.419,10.538,10.856,10.960,11.041,9.852,10.094,10.507,10.837,11.149,10.321,10.197,10.521,-1.130,-0.163,-0.112,-0.119,-0.104,-0.081,-0.242,-0.413,-0.330,-0.312,-0.549,-0.349,-0.200,-0.324,8,0.614,1.48E+07
29000,8.944,10.083,10.255,10.370,10.495,10.818,10.923,11.006,9.783,10.035,10.458,10.792,11.107,10.268,10.140,10.475,-1.139,-0.172,-0.115,-0.125,-0.105,-0.083,-0.252,-0.423,-0.334,-0.315,-0.563,-0.360,-0.207,-0.335,8,0.616,1.26E+07
30000,8.873,10.022,10.203,10.320,10.450,10.779,10.886,10.969,9.712,9.978,10.407,10.746,11.064,10.214,10.083,10.429,-1.149,-0.181,-0.117,-0.130,-0.107,-0.083,-0.266,-0.429,-0.339,-0.318,-0.576,-0.372,-0.215,-0.346,8,0.618,1.08E+07
31000,8.807,9.964,10.154,10.274,10.408,10.742,10.851,10.935,9.646,9.924,10.361,10.702,11.023,10.164,10.029,10.386,-1.157,-0.190,-0.120,-0.134,-0.109,-0.084,-0.278,-0.437,-0.341,-0.321,-0.588,-0.381,-0.222,-0.357,8,0.618,1.40E+07
32000,8.738,9.906,10.104,10.226,10.363,10.702,10.812,10.898,9.578,9.868,10.311,10.656,10.979,10.112,9.974,10.340,-1.168,-0.198,-0.122,-0.137,-0.110,-0.086,-0.290,-0.443,-0.345,-0.323,-0.598,-0.391,-0.228,-0.366,8,0.620,1.28E+07
33000,8.671,9.848,10.054,10.178,10.319,10.663,10.774,10.862,9.511,9.813,10.263,10.611,10.936,10.061,9.920,10.295,-1.177,-0.206,-0.124,-0.141,-0.111,-0.088,-0.302,-0.450,-0.348,-0.325,-0.609,-0.400,-0.234,-0.375,8,0.621,1.18E+07
34000,8.604,9.791,10.004,10.130,10.274,10.623,10.736,10.825,9.444,9.759,10.215,10.565,10.893,10.010,9.866,10.249,-1.187,-0.213,-0.126,-0.144,-0.113,-0.089,-0.315,-0.456,-0.350,-0.328,-0.619,-0.408,-0.239,-0.383,8,0.623,1.09E+07
35000,8.540,9.735,9.955,10.083,10.231,10.584,10.699,10.789,9.380,9.706,10.167,10.521,10.851,9.960,9.813,10.205,-1.195,-0.220,-0.128,-0.148,-0.115,-0.090,-0.326,-0.461,-0.354,-0.330,-0.629,-0.417,-0.245,-0.392,8,0.624,1.02E+07
36000,8.476,9.680,9.907,10.037,10.187,10.545,10.661,10.753,9.316,9.653,10.120,10.476,10.808,9.911,9.761,10.161,-1.204,-0.227,-0.130,-0.150,-0.116,-0.092,-0.337,-0.467,-0.356,-0.332,-0.638,-0.425,-0.250,-0.400,8,0.626,9505000
37000,8.413,9.625,9.859,9.990,10.144,10.506,10.624,10.717,9.253,9.601,10.073,10.432,10.766,9.861,9.709,10.116,-1.212,-0.234,-0.131,-0.154,-0.118,-0.093,-0.348,-0.472,-0.359,-0.334,-0.647,-0.433,-0.255,-0.407,8,0.628,8936000
38000,8.350,9.570,9.810,9.944,10.101,10.467,10.587,10.681,9.191,9.549,10.027,10.388,10.724,9.812,9.657,10.072,-1.220,-0.240,-0.134,-0.157,-0.120,-0.094,-0.358,-0.478,-0.361,-0.336,-0.657,-0.440,-0.260,-0.415,8,0.629,8435000
39000,8.287,9.516,9.762,9.898,10.057,10.428,10.549,10.645,9.129,9.497,9.980,10.343,10.682,9.763,9.605,10.028,-1.229,-0.246,-0.136,-0.159,-0.121,-0.096,-0.368,-0.483,-0.363,-0.339,-0.666,-0.448,-0.265,-0.423,8,0.631,7990000
40000,8.225,9.461,9.713,9.851,10.014,10.389,10.512,10.609,9.066,9.444,9.932,10.299,10.639,9.713,9.553,9.983,-1.236,-0.252,-0.138,-0.163,-0.123,-0.097,-0.378,-0.488,-0.367,-0.340,-0.676,-0.457,-0.270,-0.430,8,0.633,7592000
3500,20.562,19.836,18.347,17.409,16.518,15.544,15.069,14.769,21.412,19.120,17.764,17.138,16.762,17.658,18.572,16.693,0.726,1.489,0.938,0.891,0.475,0.300,2.292,1.356,0.626,0.376,2.803,2.220,0.965,1.879,8.5,0.898,8.53E+09
3750,19.713,19.146,17.801,16.960,16.152,15.297,14.874,14.609,20.555,18.493,17.284,16.743,16.430,17.219,18.028,16.316,0.567,1.345,0.841,0.808,0.423,0.265,2.062,1.209,0.541,0.313,2.504,1.987,0.903,1.712,8.5,0.898,8.34E+09
4000,18.963,18.538,17.323,16.566,15.833,15.081,14.702,14.468,19.799,17.942,16.865,16.398,16.139,16.829,17.548,15.986,0.425,1.215,0.757,0.733,0.379,0.234,1.857,1.077,0.467,0.259,2.242,1.784,0.843,1.562,8.5,0.898,8.14E+09
4250,18.295,18.000,16.901,16.217,15.550,14.889,14.550,14.341,19.126,17.454,16.494,16.093,15.883,16.480,17.120,15.693,0.295,1.099,0.684,0.667,0.339,0.209,1.672,0.960,0.401,0.210,2.012,1.605,0.787,1.427,8.5,0.898,7.91E+09
4500,17.697,17.519,16.525,15.907,15.300,14.718,14.412,14.226,18.524,17.018,16.165,15.822,15.654,16.166,16.736,15.432,0.178,0.994,0.618,0.607,0.306,0.186,1.506,0.853,0.343,0.168,1.807,1.447,0.734,1.304,8.5,0.899,7.66E+09
4750,17.160,17.090,16.191,15.630,15.076,14.565,14.289,14.123,17.985,16.629,15.872,15.581,15.450,15.881,16.391,15.199,0.070,0.899,0.561,0.554,0.276,0.166,1.356,0.757,0.291,0.131,1.626,1.307,0.682,1.192,8.5,0.899,7.37E+09
5000,16.676,16.704,15.890,15.380,14.875,14.426,14.177,14.029,17.498,16.278,15.608,15.364,15.267,15.623,16.079,14.990,-0.028,0.814,0.510,0.505,0.249,0.148,1.220,0.670,0.244,0.097,1.464,1.182,0.633,1.089,8.5,0.899,7.08E+09
5250,16.239,16.357,15.620,15.156,14.695,14.302,14.076,13.944,17.060,15.964,15.372,15.170,15.102,15.389,15.797,14.801,-0.118,0.737,0.464,0.461,0.226,0.132,1.096,0.592,0.202,0.068,1.318,1.070,0.588,0.996,8.5,0.899,6.75E+09
5500,15.842,16.042,15.377,14.954,14.532,14.188,13.984,13.866,16.662,15.678,15.159,14.994,14.953,15.175,15.541,14.631,-0.200,0.665,0.423,0.422,0.204,0.118,0.984,0.519,0.165,0.041,1.189,0.971,0.544,0.910,8.5,0.899,6.30E+09
6000,15.155,15.500,14.957,14.604,14.250,13.992,13.824,13.731,15.975,15.186,14.792,14.691,14.696,14.802,15.095,14.335,-0.345,0.543,0.353,0.354,0.168,0.093,0.789,0.394,0.101,-0.005,0.965,0.800,0.467,0.760,8.5,0.900,5.28E+09
6500,14.596,15.055,14.609,14.310,14.012,13.823,13.685,13.612,15.416,14.780,14.485,14.435,14.477,14.485,14.722,14.086,-0.459,0.446,0.299,0.298,0.138,0.073,0.636,0.295,0.050,-0.042,0.786,0.662,0.399,0.636,8.5,0.900,4.38E+09
7000,14.134,14.680,14.310,14.055,13.802,13.671,13.558,13.503,14.955,14.435,14.219,14.211,14.284,14.210,14.402,13.867,-0.546,0.370,0.255,0.253,0.113,0.055,0.520,0.216,0.008,-0.073,0.639,0.548,0.343,0.535,8.5,0.901,3.69E+09
7500,13.741,14.356,14.048,13.830,13.615,13.533,13.442,13.401,14.563,14.135,13.985,14.012,14.110,13.965,14.121,13.671,-0.615,0.308,0.218,0.215,0.091,0.041,0.428,0.150,-0.027,-0.098,0.515,0.452,0.294,0.450,8.5,0.901,3.18E+09
8000,13.397,14.069,13.813,13.626,13.444,13.405,13.333,13.307,14.220,13.868,13.774,13.831,13.951,13.744,13.869,13.493,-0.672,0.256,0.187,0.182,0.072,0.026,0.352,0.094,-0.057,-0.120,0.408,0.369,0.251,0.376,8.5,0.902,2.74E+09
8500,13.091,13.807,13.592,13.429,13.276,13.279,13.228,13.215,13.914,13.622,13.570,13.653,13.794,13.533,13.634,13.318,-0.716,0.215,0.163,0.153,0.051,0.013,0.292,0.052,-0.083,-0.141,0.313,0.291,0.215,0.316,8.5,0.902,2.36E+09
9000,12.811,13.575,13.405,13.270,13.147,13.184,13.147,13.144,13.635,13.406,13.405,13.515,13.675,13.357,13.432,13.183,-0.764,0.170,0.135,0.123,0.037,0.003,0.229,0.001,-0.110,-0.160,0.221,0.221,0.174,0.249,8.5,0.903,2.02E+09
9500,12.566,13.375,13.246,13.133,13.032,13.097,13.073,13.079,13.391,13.222,13.263,13.394,13.568,13.204,13.257,13.063,-0.809,0.129,0.113,0.101,0.024,-0.006,0.169,-0.041,-0.131,-0.174,0.149,0.166,0.141,0.194,8.5,0.903,1.73E+09
